Description,Category
Garbage not collected for 10 days near Hospital.,Municipal
Frequent traffic jams near Market.,Transport
Unauthorized shops set up near Park.,Development Authority
Suspicious activities happening around Temple every night.,Police
Still waiting for action on request raised 14 days ago.,CM Office (Miscellaneous)
"road divider missing n metro st@ion, causing accidents.",Transport
Water supply disrupted since 3 days in Highway.,Municipal
Road at Bus Stand has deep potholes causing accidents. pls do something asap!,Public Works Department
Illegal hoardings at School causing obstruction.,Development Authority
Water supply disrupted since 13 days in Highway.,Municipal
Public nuisance by drunk people at Market.,Police
Land dispute reported at Bus Stand.,Development Authority
Building being constructed without permission near Highway.,Development Authority
Traffic signal malfunctioning near School.,Transport
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Repeated complaints ignored by department.,CM Office (Miscellaneous)
"Drainage overflow at Market, foul smell everywhere.",Municipal
"Burglary reported at Metro Station, no investigation done. pls do something asap!",Police
"Loud music playing late night at Main Road, no action taken.",Police
department staff being rude and unhelpful.,CM Office (Miscellaneous)
Traffic signal malfunctioning near Colony. pls do something asap!,Transport
Stray dogs attacking people near School.,Municipal
Plot boundaries changed illegally near Colony.,Development Authority
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
frequent delays in public buses @ main road.,Transport
Auto drivers overcharging passengers near Bus Stand.,Transport
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Illegal construction at Highway blocking road access.,Development Authority
Heavy vehicles blocking main road near School.,Transport
repe@ed complaints ignored by department.,CM Office (Miscellaneous)
Unauthorized shops set up near Bus Stand.,Development Authority
"Theft occurred at Metro Station, no police arrived yet.",Police
"Burglary reported at Colony, no investigation done.",Police
Land dispute reported at Market.,Development Authority
Plot boundaries changed illegally near School.,Development Authority
Bus stop shelter at School damaged and unsafe.,Transport
"Burglary reported at Park, no investigation done.",Police
Land dispute reported at Main Road.,Development Authority
public toilet @ highway is dirty and broken.,Municipal
Encroachment on government land near Park.,Development Authority
Frequent traffic jams near Highway.,Transport
road @ metro st@ion has deep potholes causing accidents.,Public Works Department
Grievance No. CM6141 pending without update.,CM Office (Miscellaneous)
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Buses not stopping at Park despite schedule. pls do something asap!,Transport
"drainage overflow @ main road, foul smell everywhere.",Municipal
department staff being rude and unhelpful.,CM Office (Miscellaneous)
"Road divider missing near Colony, causing accidents.",Transport
Traffic signal malfunctioning near Bus Stand.,Transport
Open manhole causing danger near School.,Municipal
Traffic signal malfunctioning near School.,Transport
Assault reported outside Colony.,Police
Open manhole causing danger near Market.,Municipal
"Streetlight not working in Park, unsafe at night. pls do something asap!",Municipal
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Suspicious activities happening around Park every night.,Police
Drainage blocked near Highway causing flooding.,Public Works Department
Garbage not collected for 2 days near Park.,Municipal
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Auto drivers overcharging passengers near Market.,Transport
Broken road divider at School creating risk for vehicles.,Public Works Department
Broken road divider at Main Road creating risk for vehicles.,Public Works Department
Garbage not collected for 13 days near Metro Station.,Municipal
Open manhole causing danger near Hospital.,Municipal
Land dispute reported at Colony.,Development Authority
Broken road divider at Main Road creating risk for vehicles.,Public Works Department
"Streetlight not working in Main Road, unsafe at night.",Municipal
public toilet @ temple is dirty and broken.,Municipal
No sanitation workers seen for a week at School.,Municipal
Illegal construction at Park blocking road access.,Development Authority
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Illegal construction at Metro Station blocking road access.,Development Authority
Filed complaint weeks ago but no response received. pls do something asap!,CM Office (Miscellaneous)
No acknowledgment received for complaint submitted last week. pls do something asap!,CM Office (Miscellaneous)
Public nuisance by drunk people at Highway.,Police
Road at School has deep potholes causing accidents.,Public Works Department
"Theft occurred at School, no police arrived yet.",Police
Footpath tiles uneven and dangerous near Market.,Public Works Department
Still waiting for action on request raised 5 days ago.,CM Office (Miscellaneous)
"Drainage overflow at Highway, foul smell everywhere. pls do something asap!",Municipal
No sanitation workers seen for a week at Hospital.,Municipal
No sanitation workers seen for a week at Bus Stand.,Municipal
Newly constructed footpath at School already broken.,Public Works Department
Drainage blocked near Market causing flooding.,Public Works Department
Overhead bridge construction delayed near Colony.,Public Works Department
no sanit@ion workers seen fr a week @ metro st@ion.,Municipal
Open manhole causing danger near School.,Municipal
Encroachment on government land near Market.,Development Authority
Broken road divider at Temple creating risk for vehicles.,Public Works Department
"Road divider missing near Main Road, causing accidents.",Transport
"Streetlight not working in Bus Stand, unsafe at night.",Municipal
Cement road at Main Road cracked within a week of repair.,Public Works Department
Grievance No. CM7915 pending without update.,CM Office (Miscellaneous)
heavy vehicles blocking main road n temple.,Transport
Open manhole causing danger near Park.,Municipal
Traffic signal malfunctioning near Bus Stand.,Transport
road @ temple has deep potholes causing accidents.,Public Works Department
Stray dogs attacking people near Market.,Municipal
street repair left incomplete @ main road. pls do something asap!,Public Works Department
"Streetlight not working in Market, unsafe at night.",Municipal
Suspicious activities happening around School every night.,Police
Garbage not collected for 8 days near Main Road.,Municipal
Auto drivers overcharging passengers near Metro Station.,Transport
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
"Road divider missing near Metro Station, causing accidents.",Transport
Newly constructed footpath at Market already broken.,Public Works Department
no sanit@ion workers seen fr a week @ market.,Municipal
Chain snatching reported yesterday near Temple.,Police
Illegal construction at Colony blocking road access.,Development Authority
Assault reported outside Hospital.,Police
Open manhole causing danger near Colony.,Municipal
Newly constructed footpath at Park already broken.,Public Works Department
broken road divider @ market cre@ing risk fr vehicles.,Public Works Department
Auto drivers overcharging passengers near Metro Station.,Transport
Road at Market has deep potholes causing accidents.,Public Works Department
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Illegal hoardings at Market causing obstruction.,Development Authority
Illegal construction at Market blocking road access.,Development Authority
Still waiting for action on request raised 9 days ago.,CM Office (Miscellaneous)
public nuisance by drunk people @ temple.,Police
Public toilet at Bus Stand is dirty and broken.,Municipal
Grievance No. CM6044 pending without update.,CM Office (Miscellaneous)
Illegal hoardings at Main Road causing obstruction.,Development Authority
No sanitation workers seen for a week at Temple.,Municipal
Garbage not collected for 3 days near Highway.,Municipal
Heavy vehicles blocking main road near Highway.,Transport
"Streetlight not working in Bus Stand, unsafe at night.",Municipal
illegal hoardings @ temple causing obstruction. pls do something asap!,Development Authority
"Streetlight not working in Colony, unsafe at night.",Municipal
"Theft occurred at Market, no police arrived yet.",Police
Newly constructed footpath at Main Road already broken.,Public Works Department
Footpath tiles uneven and dangerous near Park. pls do something asap!,Public Works Department
Frequent delays in public buses at Metro Station.,Transport
chain sn@ching reported yesterday n school.,Police
Building being constructed without permission near Metro Station.,Development Authority
"Burglary reported at Park, no investigation done.",Police
heavy vehicles blocking main road n park.,Transport
Illegal construction at Metro Station blocking road access. pls do something asap!,Development Authority
Heavy vehicles blocking main road near Highway.,Transport
"Burglary reported at Highway, no investigation done.",Police
Water supply disrupted since 14 days in Temple.,Municipal
"Streetlight not working in Hospital, unsafe at night.",Municipal
"Theft occurred at Colony, no police arrived yet.",Police
Water supply disrupted since 9 days in Colony.,Municipal
Group of men harassing women near Park.,Police
Overhead bridge construction delayed near Main Road.,Public Works Department
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Building being constructed without permission near Hospital.,Development Authority
Open manhole causing danger near Market.,Municipal
Building being constructed without permission near Bus Stand.,Development Authority
Garbage not collected for 4 days near Bus Stand.,Municipal
w@er supply disrupted since 13 days in metro st@ion.,Municipal
Grievance No. CM9226 pending without update.,CM Office (Miscellaneous)
Assault reported outside Hospital.,Police
Frequent delays in public buses at Main Road.,Transport
traffic signal malfunctioning n bus stand.,Transport
Overhead bridge construction delayed near Colony. pls do something asap!,Public Works Department
Garbage not collected for 9 days near Hospital.,Municipal
"Burglary reported at Hospital, no investigation done.",Police
Dumping of debris on open land near Main Road.,Development Authority
Buses not stopping at Main Road despite schedule.,Transport
No sanitation workers seen for a week at School.,Municipal
Open manhole causing danger near School.,Municipal
Public toilet at Highway is dirty and broken.,Municipal
Officials not responding to grievance at Metro Station. pls do something asap!,CM Office (Miscellaneous)
"drainage overflow @ market, foul smell everywhere.",Municipal
Newly constructed footpath at School already broken.,Public Works Department
Online complaint portal not working for several days.,CM Office (Miscellaneous)
"streetlight not working in hospital, unsafe @ night.",Municipal
"Burglary reported at Main Road, no investigation done.",Police
department staff being rude and unhelpful.,CM Office (Miscellaneous)
Dumping of debris on open land near Market.,Development Authority
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Chain snatching reported yesterday near Market.,Police
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
"Loud music playing late night at Main Road, no action taken. pls do something asap!",Police
"Loud music playing late night at Market, no action taken.",Police
Public toilet at Main Road is dirty and broken.,Municipal
Traffic signal malfunctioning near Market.,Transport
Heavy vehicles blocking main road near Colony.,Transport
chain sn@ching reported yesterday n colony.,Police
"Road divider missing near Temple, causing accidents.",Transport
Still waiting for action on request raised 9 days ago.,CM Office (Miscellaneous)
"streetlight not working in hospital, unsafe @ night.",Municipal
Newly constructed footpath at Hospital already broken.,Public Works Department
Unauthorized shops set up near Metro Station. pls do something asap!,Development Authority
Unauthorized shops set up near Temple.,Development Authority
Dumping of debris on open land near Park.,Development Authority
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
illegal hoardings @ colony causing obstruction. pls do something asap!,Development Authority
Group of men harassing women near Temple. pls do something asap!,Police
Newly constructed footpath at Hospital already broken. pls do something asap!,Public Works Department
Dumping of debris on open land near Park.,Development Authority
Broken road divider at Temple creating risk for vehicles.,Public Works Department
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Cement road at Highway cracked within a week of repair.,Public Works Department
Public nuisance by drunk people at Hospital.,Police
Dumping of debris on open land near Metro Station.,Development Authority
Open manhole causing danger near Main Road.,Municipal
Buses not stopping at Hospital despite schedule.,Transport
Street repair left incomplete at Hospital.,Public Works Department
Overhead bridge construction delayed near Bus Stand.,Public Works Department
"loud music playing l@e night @ park, no action taken.",Police
"Theft occurred at Colony, no police arrived yet.",Police
Officials not responding to grievance at Main Road.,CM Office (Miscellaneous)
Water supply disrupted since 14 days in Main Road.,Municipal
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Open manhole causing danger near Highway.,Municipal
Illegal hoardings at Colony causing obstruction.,Development Authority
Drainage blocked near Metro Station causing flooding.,Public Works Department
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Buses not stopping at Temple despite schedule.,Transport
"Drainage overflow at Highway, foul smell everywhere.",Municipal
Water supply disrupted since 8 days in Highway. pls do something asap!,Municipal
Building being constructed without permission near Park.,Development Authority
auto drivers overcharging passengers n market.,Transport
Overhead bridge construction delayed near School.,Public Works Department
Cement road at Market cracked within a week of repair.,Public Works Department
Illegal hoardings at Bus Stand causing obstruction.,Development Authority
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Traffic signal malfunctioning near Colony.,Transport
Illegal hoardings at Hospital causing obstruction.,Development Authority
Broken road divider at School creating risk for vehicles.,Public Works Department
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Newly constructed footpath at Bus Stand already broken.,Public Works Department
Grievance No. CM4948 pending without update.,CM Office (Miscellaneous)
"Road divider missing near Metro Station, causing accidents.",Transport
Road at Market has deep potholes causing accidents.,Public Works Department
"Loud music playing late night at Highway, no action taken.",Police
frequent delays in public buses @ temple.,Transport
heavy vehicles blocking main road n market.,Transport
Road at Highway has deep potholes causing accidents.,Public Works Department
department staff being rude and unhelpful.,CM Office (Miscellaneous)
Overhead bridge construction delayed near Market. pls do something asap!,Public Works Department
Encroachment on government land near School.,Development Authority
Unauthorized shops set up near Main Road.,Development Authority
Cement road at Market cracked within a week of repair.,Public Works Department
Assault reported outside Highway.,Police
Buses not stopping at Metro Station despite schedule.,Transport
group of men harassing women n school.,Police
Overhead bridge construction delayed near School.,Public Works Department
"Loud music playing late night at Market, no action taken.",Police
Illegal construction at Metro Station blocking road access.,Development Authority
Assault reported outside Park.,Police
"Loud music playing late night at Market, no action taken.",Police
Water supply disrupted since 8 days in School.,Municipal
Encroachment on government land near School.,Development Authority
Suspicious activities happening around Bus Stand every night.,Police
Traffic signal malfunctioning near Market.,Transport
Auto drivers overcharging passengers near Colony.,Transport
Traffic signal malfunctioning near Highway.,Transport
Illegal hoardings at Hospital causing obstruction.,Development Authority
"Road divider missing near Highway, causing accidents.",Transport
"Loud music playing late night at Metro Station, no action taken.",Police
filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
officials not responding to grievance @ colony.,CM Office (Miscellaneous)
Group of men harassing women near School.,Police
Bus stop shelter at School damaged and unsafe.,Transport
"Loud music playing late night at Highway, no action taken.",Police
"Road divider missing near Hospital, causing accidents.",Transport
chain sn@ching reported yesterday n main road.,Police
no sanit@ion workers seen fr a week @ park.,Municipal
Land dispute reported at Colony.,Development Authority
assault reported outside metro st@ion.,Police
open manhole causing danger n colony.,Municipal
Officials not responding to grievance at Colony.,CM Office (Miscellaneous)
Frequent traffic jams near Highway.,Transport
Grievance No. CM7137 pending without update.,CM Office (Miscellaneous)
"drainage overflow @ hospital, foul smell everywhere. pls do something asap!",Municipal
footp@h tiles uneven and dangerous n highway.,Public Works Department
Group of men harassing women near Market.,Police
plot boundaries changed illegally n main road.,Development Authority
Frequent delays in public buses at Bus Stand.,Transport
bus stop shelter @ metro st@ion damaged and unsafe.,Transport
Open manhole causing danger near Hospital.,Municipal
Still waiting for action on request raised 12 days ago. pls do something asap!,CM Office (Miscellaneous)
Overhead bridge construction delayed near Metro Station.,Public Works Department
Still waiting for action on request raised 11 days ago.,CM Office (Miscellaneous)
Still waiting for action on request raised 14 days ago.,CM Office (Miscellaneous)
No acknowledgment received for complaint submitted last week. pls do something asap!,CM Office (Miscellaneous)
Online complaint portal not working for several days.,CM Office (Miscellaneous)
repe@ed complaints ignored by department.,CM Office (Miscellaneous)
Water supply disrupted since 4 days in Hospital.,Municipal
Assault reported outside Bus Stand.,Police
Auto drivers overcharging passengers near Main Road. pls do something asap!,Transport
"Burglary reported at Market, no investigation done.",Police
Traffic signal malfunctioning near Park.,Transport
Online complaint portal not working for several days.,CM Office (Miscellaneous)
"Road divider missing near Park, causing accidents.",Transport
Traffic signal malfunctioning near Park.,Transport
Street repair left incomplete at Park.,Public Works Department
Public toilet at Main Road is dirty and broken.,Municipal
unauthorized shops set up n market.,Development Authority
Public nuisance by drunk people at Main Road.,Police
Encroachment on government land near School.,Development Authority
Stray dogs attacking people near Bus Stand. pls do something asap!,Municipal
Chain snatching reported yesterday near Temple.,Police
Dumping of debris on open land near Metro Station.,Development Authority
department staff being rude and unhelpful. pls do something asap!,CM Office (Miscellaneous)
newly constructed footp@h @ main road already broken.,Public Works Department
Bus stop shelter at Market damaged and unsafe.,Transport
Footpath tiles uneven and dangerous near Park.,Public Works Department
No sanitation workers seen for a week at Temple.,Municipal
Water supply disrupted since 10 days in School. pls do something asap!,Municipal
"Streetlight not working in School, unsafe at night.",Municipal
Street repair left incomplete at Market.,Public Works Department
Broken road divider at Temple creating risk for vehicles.,Public Works Department
Water supply disrupted since 13 days in Bus Stand.,Municipal
dumping of debris on open land n temple.,Development Authority
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Heavy vehicles blocking main road near Hospital.,Transport
"Drainage overflow at Colony, foul smell everywhere.",Municipal
"Drainage overflow at School, foul smell everywhere.",Municipal
"Road divider missing near Market, causing accidents. pls do something asap!",Transport
Public nuisance by drunk people at Market.,Police
"theft occurred @ highway, no police arrived yet.",Police
Grievance No. CM2275 pending without update.,CM Office (Miscellaneous)
"Road divider missing near Hospital, causing accidents.",Transport
Plot boundaries changed illegally near Hospital.,Development Authority
Officials not responding to grievance at Market.,CM Office (Miscellaneous)
"Streetlight not working in Highway, unsafe at night.",Municipal
Frequent traffic jams near Temple.,Transport
Illegal hoardings at Metro Station causing obstruction.,Development Authority
Encroachment on government land near Market.,Development Authority
"Streetlight not working in Market, unsafe at night.",Municipal
Heavy vehicles blocking main road near Park. pls do something asap!,Transport
Newly constructed footpath at Park already broken.,Public Works Department
Broken road divider at Park creating risk for vehicles. pls do something asap!,Public Works Department
Footpath tiles uneven and dangerous near Main Road.,Public Works Department
Stray dogs attacking people near Bus Stand.,Municipal
"Burglary reported at Highway, no investigation done. pls do something asap!",Police
Encroachment on government land near School.,Development Authority
Grievance No. CM2304 pending without update.,CM Office (Miscellaneous)
Illegal construction at Bus Stand blocking road access. pls do something asap!,Development Authority
"Streetlight not working in Highway, unsafe at night.",Municipal
dumping of debris on open land n school.,Development Authority
Illegal construction at Main Road blocking road access.,Development Authority
