Description,Category
"Street damaged after rain, vehicles skidding. situation getting worse.",Public Works Department
"Unfair practices in local department reported, please look into it. needs immediate attention.",CM Office (Miscellaneous)
Loud noise and public nuisance every night around park. facing issues since last week.,Police
Encroachment on public land at market area. please resolve soon.,Development Authority
Theft cases increasing in MG Road. Please increase patrolling. kindly look into this.,Police
Public dustbins overflowing and not cleaned. request urgent action.,Municipal
There is frequent eve teasing near the hospital. situation getting worse.,Police
Corruption complaint ignored by local officer. request urgent action.,CM Office (Miscellaneous)
Water stagnation near market area due to poor drainage. please resolve soon.,Public Works Department
Unhygienic conditions near market in XYZ Nagar. request urgent action.,Municipal
Land encroachment by private party near railway station. situation getting worse.,Development Authority
Road full of potholes at bus stop. kindly look into this.,Public Works Department
Unhygienic conditions near market in Central Avenue. needs immediate attention.,Municipal
Corruption complaint ignored by local officer. kindly look into this.,CM Office (Miscellaneous)
Illegal gambling happening behind junction. request urgent action.,Police
Fogging not done properly leading to mosquito menace. needs immediate attention.,Municipal
Poor road markings making driving difficult. kindly look into this.,Transport
Robbery incident reported near school. facing issues since last week.,Police
Land encroachment by private party near park. facing issues since last week.,Development Authority
Culvert repair pending at New Town. facing issues since last week.,Public Works Department
Robbery incident reported near market area. needs immediate attention.,Police
Unauthorized shops operating near bus depot. facing issues since last week.,Development Authority
Autos refusing passengers in Sector 12. situation getting worse.,Transport
Drunken men creating disturbance in Central Avenue.,Police
Flyover joints damaged and causing vehicle imbalance. facing issues since last week.,Public Works Department
Garbage not collected in Lakeview for several days. situation getting worse.,Municipal
Women feel unsafe walking home after 7 PM. facing issues since last week.,Police
Water stagnation near park due to poor drainage. kindly look into this.,Public Works Department
People fighting daily at the main road.,Police
Bus shelter at MG Road broken and unsafe. facing issues since last week.,Transport
Plot disputes not being resolved on time. kindly look into this.,Development Authority
Application not processed even after multiple visits. situation getting worse.,CM Office (Miscellaneous)
Road full of potholes at park. needs immediate attention.,Public Works Department
No proper communication from officials on issue raised. kindly look into this.,CM Office (Miscellaneous)
Flyover joints damaged and causing vehicle imbalance.,Public Works Department
Uneven road surface leading to traffic problems. please resolve soon.,Public Works Department
Road full of potholes at park.,Public Works Department
Land encroachment by private party near school.,Development Authority
Pedestrian crossing signal not working at railway station. facing issues since last week.,Transport
People fighting daily at the bus stop. request urgent action.,Police
People fighting daily at the hospital. needs immediate attention.,Police
Delay in pension disbursement for seniors. please resolve soon.,CM Office (Miscellaneous)
Violation of building norms at temple. kindly look into this.,Development Authority
Plot disputes not being resolved on time. request urgent action.,Development Authority
Streetlights not working since last week in Sector 12. needs immediate attention.,Municipal
Open manhole in hospital dangerous for kids. kindly look into this.,Municipal
Illegal construction happening on main bazaar road. please resolve soon.,Development Authority
Citizen grievance unresolved despite repeated attempts. request urgent action.,CM Office (Miscellaneous)
Land encroachment by private party near park. situation getting worse.,Development Authority
Uneven road surface leading to traffic problems.,Public Works Department
There is frequent eve teasing near the railway station. facing issues since last week.,Police
Illegal construction happening on ring road.,Development Authority
Theft cases increasing in ABC Colony. Please increase patrolling. kindly look into this.,Police
No proper communication from officials on issue raised.,CM Office (Miscellaneous)
Government office not responding to complaints. facing issues since last week.,CM Office (Miscellaneous)
Garbage not collected in Central Avenue for several days.,Municipal
"Footpath broken near MG Road, pedestrians facing issues.",Public Works Department
Broken divider near junction causing jams.,Transport
Signal at bus depot not functioning properly causing accidents. needs immediate attention.,Transport
Bus route 11 not running on time for several days. please resolve soon.,Transport
Corruption complaint ignored by local officer. kindly look into this.,CM Office (Miscellaneous)
Bus shelter at Sector 12 broken and unsafe. kindly look into this.,Transport
Delay in pension disbursement for seniors. please resolve soon.,CM Office (Miscellaneous)
Heavy traffic jam at park every morning. request urgent action.,Transport
Poor road markings making driving difficult. please resolve soon.,Transport
"Street damaged after rain, vehicles skidding. request urgent action.",Public Works Department
Stray dogs attacking people in XYZ Nagar. kindly look into this.,Municipal
Public dustbins overflowing and not cleaned. facing issues since last week.,Municipal
Government office not responding to complaints. please resolve soon.,CM Office (Miscellaneous)
Flyover joints damaged and causing vehicle imbalance. needs immediate attention.,Public Works Department
Complaint regarding layout approval delay. needs immediate attention.,Development Authority
Unhygienic conditions near market in Central Avenue. kindly look into this.,Municipal
Chain snatching reported near junction. Please take action. request urgent action.,Police
Unauthorized shops operating near community hall. request urgent action.,Development Authority
"Unfair practices in local department reported, please look into it. needs immediate attention.",CM Office (Miscellaneous)
Flyover construction delay leading to congestion. request urgent action.,Transport
Corruption complaint ignored by local officer. kindly look into this.,CM Office (Miscellaneous)
Online complaint portal not working for days. please resolve soon.,CM Office (Miscellaneous)
New road construction delayed at Downtown. needs immediate attention.,Public Works Department
People fighting daily at the school.,Police
Accidents happening due to no speed breakers at park. needs immediate attention.,Transport
There is frequent eve teasing near the market area. needs immediate attention.,Police
Online complaint portal not working for days. needs immediate attention.,CM Office (Miscellaneous)
People blocking roads with illegal sheds. facing issues since last week.,Development Authority
Signal at petrol bunk not functioning properly causing accidents. facing issues since last week.,Transport
Complaint regarding layout approval delay.,Development Authority
Loud noise and public nuisance every night around market area. facing issues since last week.,Police
Construction debris dumped near XYZ Nagar.,Development Authority
Drunken men creating disturbance in Central Avenue. facing issues since last week.,Police
Poor road markings making driving difficult. please resolve soon.,Transport
Government office not responding to complaints. please resolve soon.,CM Office (Miscellaneous)
Streetlights not working since last week in ABC Colony. facing issues since last week.,Municipal
Pedestrian crossing signal not working at bus stop. situation getting worse.,Transport
Stray dogs attacking people in MG Road. request urgent action.,Municipal
Heavy traffic jam at temple every morning. kindly look into this.,Transport
People blocking roads with illegal sheds. kindly look into this.,Development Authority
No proper communication from officials on issue raised.,CM Office (Miscellaneous)
Complaint regarding layout approval delay.,Development Authority
New road construction delayed at Central Avenue. situation getting worse.,Public Works Department
Streetlights not working since last week in Downtown. situation getting worse.,Municipal
Plot disputes not being resolved on time. kindly look into this.,Development Authority
Pedestrian crossing signal not working at railway station. request urgent action.,Transport
Drunken men creating disturbance in Sector 12. situation getting worse.,Police
Police not responding quickly during emergencies.,Police
Flyover joints damaged and causing vehicle imbalance. kindly look into this.,Public Works Department
Online complaint portal not working for days. please resolve soon.,CM Office (Miscellaneous)
Accidents happening due to no speed breakers at main road. request urgent action.,Transport
Building without proper permission in Sector 12.,Development Authority
Heavy traffic jam at market area every morning. request urgent action.,Transport
Land encroachment by private party near park. request urgent action.,Development Authority
Waste dumped on roadside in Central Avenue. needs immediate attention.,Municipal
Drunken men creating disturbance in XYZ Nagar. request urgent action.,Police
Uneven road surface leading to traffic problems. situation getting worse.,Public Works Department
Police not responding quickly during emergencies. kindly look into this.,Police
Need urgent help regarding electricity bill issue. situation getting worse.,CM Office (Miscellaneous)
Stray dogs attacking people in Green Park. request urgent action.,Municipal
Theft cases increasing in Central Avenue. Please increase patrolling. needs immediate attention.,Police
Illegal gambling happening behind community hall. needs immediate attention.,Police
Road full of potholes at railway station. situation getting worse.,Public Works Department
Staff behavior rude and unhelpful in office. please resolve soon.,CM Office (Miscellaneous)
Autos refusing passengers in Downtown. situation getting worse.,Transport
Uneven road surface leading to traffic problems.,Public Works Department
Bridge under repair for months at signal point. request urgent action.,Public Works Department
Drunken men creating disturbance in Downtown. needs immediate attention.,Police
Drunken men creating disturbance in Sector 12.,Police
Bus shelter at Sector 12 broken and unsafe. request urgent action.,Transport
Chain snatching reported near junction. Please take action. request urgent action.,Police
Water leakage near 2nd street. facing issues since last week.,Municipal
"Unfair practices in local department reported, please look into it. request urgent action.",CM Office (Miscellaneous)
Illegal construction happening on 2nd street. situation getting worse.,Development Authority
Corruption complaint ignored by local officer. kindly look into this.,CM Office (Miscellaneous)
New road construction delayed at XYZ Nagar. request urgent action.,Public Works Department
Complaint regarding layout approval delay. kindly look into this.,Development Authority
Corruption complaint ignored by local officer. please resolve soon.,CM Office (Miscellaneous)
Government office not responding to complaints. facing issues since last week.,CM Office (Miscellaneous)
Construction debris dumped near MG Road. needs immediate attention.,Development Authority
Chain snatching reported near community hall. Please take action. needs immediate attention.,Police
New road construction delayed at Lakeview. please resolve soon.,Public Works Department
Unauthorized shops operating near bus depot. needs immediate attention.,Development Authority
Government office not responding to complaints. request urgent action.,CM Office (Miscellaneous)
Illegal gambling happening behind petrol bunk. facing issues since last week.,Police
Streetlights not working since last week in XYZ Nagar. please resolve soon.,Municipal
Construction debris dumped near Sector 12. kindly look into this.,Development Authority
Open manhole in main road dangerous for kids. please resolve soon.,Municipal
Open manhole in park dangerous for kids. facing issues since last week.,Municipal
Poor road markings making driving difficult. kindly look into this.,Transport
Pedestrian crossing signal not working at main road. situation getting worse.,Transport
Flyover construction delay leading to congestion. kindly look into this.,Transport
Drunken men creating disturbance in Central Avenue. needs immediate attention.,Police
Water stagnation near main road due to poor drainage.,Public Works Department
Chain snatching reported near petrol bunk. Please take action. facing issues since last week.,Police
Flyover construction delay leading to congestion. needs immediate attention.,Transport
Staff behavior rude and unhelpful in office. facing issues since last week.,CM Office (Miscellaneous)
Broken divider near signal point causing jams. needs immediate attention.,Transport
Construction debris dumped near ABC Colony. needs immediate attention.,Development Authority
Online complaint portal not working for days.,CM Office (Miscellaneous)
Pedestrian crossing signal not working at railway station. situation getting worse.,Transport
Violation of building norms at main road. situation getting worse.,Development Authority
Robbery incident reported near hospital.,Police
Chain snatching reported near signal point. Please take action. please resolve soon.,Police
Heavy traffic jam at hospital every morning. kindly look into this.,Transport
Police not responding quickly during emergencies. please resolve soon.,Police
Unhygienic conditions near market in MG Road. situation getting worse.,Municipal
Waste dumped on roadside in Central Avenue. situation getting worse.,Municipal
Culvert repair pending at New Town. kindly look into this.,Public Works Department
Robbery incident reported near park.,Police
Need urgent help regarding electricity bill issue. needs immediate attention.,CM Office (Miscellaneous)
Heavy traffic jam at park every morning. situation getting worse.,Transport
Bridge under repair for months at junction.,Public Works Department
Illegal gambling happening behind bus depot. kindly look into this.,Police
Uneven road surface leading to traffic problems. needs immediate attention.,Public Works Department
Culvert repair pending at Airport Road. facing issues since last week.,Public Works Department
Women feel unsafe walking home after 7 PM. situation getting worse.,Police
Stormwater drain collapsed near junction. facing issues since last week.,Public Works Department
Autos refusing passengers in Central Avenue. kindly look into this.,Transport
Bus shelter at MG Road broken and unsafe.,Transport
Loud noise and public nuisance every night around park. request urgent action.,Police
Unauthorized shops operating near petrol bunk. situation getting worse.,Development Authority
There is frequent eve teasing near the market area. situation getting worse.,Police
Women feel unsafe walking home after 7 PM. facing issues since last week.,Police
There is frequent eve teasing near the school. kindly look into this.,Police
Robbery incident reported near school. please resolve soon.,Police
Unauthorized shops operating near city mall. kindly look into this.,Development Authority
New road construction delayed at ABC Colony. kindly look into this.,Public Works Department
Stray dogs attacking people in MG Road. kindly look into this.,Municipal
Encroachment on public land at bus stop. request urgent action.,Development Authority
Water stagnation near market area due to poor drainage.,Public Works Department
Corruption complaint ignored by local officer. needs immediate attention.,CM Office (Miscellaneous)
No proper communication from officials on issue raised. facing issues since last week.,CM Office (Miscellaneous)
Fogging not done properly leading to mosquito menace.,Municipal
New road construction delayed at Lakeview. please resolve soon.,Public Works Department
Unauthorized shops operating near junction. needs immediate attention.,Development Authority
There is frequent eve teasing near the park. facing issues since last week.,Police
Poor road markings making driving difficult. facing issues since last week.,Transport
People blocking roads with illegal sheds. kindly look into this.,Development Authority
Public dustbins overflowing and not cleaned. please resolve soon.,Municipal
"Unfair practices in local department reported, please look into it. request urgent action.",CM Office (Miscellaneous)
Construction debris dumped near Sector 12. please resolve soon.,Development Authority
Violation of building norms at market area.,Development Authority
Police not responding quickly during emergencies. situation getting worse.,Police
Loud noise and public nuisance every night around main road. please resolve soon.,Police
Robbery incident reported near bus stop. situation getting worse.,Police
Unhygienic conditions near market in Downtown. situation getting worse.,Municipal
Building without proper permission in XYZ Nagar. needs immediate attention.,Development Authority
Citizen grievance unresolved despite repeated attempts.,CM Office (Miscellaneous)
Heavy traffic jam at hospital every morning. needs immediate attention.,Transport
Drunken men creating disturbance in Sector 12. kindly look into this.,Police
Poor road markings making driving difficult.,Transport
Water leakage near ring road. facing issues since last week.,Municipal
Autos refusing passengers in ABC Colony. please resolve soon.,Transport
Illegal construction happening on main bazaar road. please resolve soon.,Development Authority
Illegal construction happening on main bazaar road. needs immediate attention.,Development Authority
Online complaint portal not working for days. please resolve soon.,CM Office (Miscellaneous)
Heavy traffic jam at main road every morning. please resolve soon.,Transport
Heavy traffic jam at hospital every morning. facing issues since last week.,Transport
Construction debris dumped near Central Avenue. situation getting worse.,Development Authority
Drainage overflow causing bad smell near market area. situation getting worse.,Municipal
Bus shelter at Central Avenue broken and unsafe. please resolve soon.,Transport
Water stagnation near hospital due to poor drainage. needs immediate attention.,Public Works Department
Flyover construction delay leading to congestion. please resolve soon.,Transport
Construction debris dumped near Downtown. situation getting worse.,Development Authority
Fogging not done properly leading to mosquito menace. situation getting worse.,Municipal
Culvert repair pending at New Town.,Public Works Department
"Unfair practices in local department reported, please look into it. situation getting worse.",CM Office (Miscellaneous)
Violation of building norms at railway station. situation getting worse.,Development Authority
Road full of potholes at main road.,Public Works Department
Accidents happening due to no speed breakers at main road.,Transport
Culvert repair pending at New Town. situation getting worse.,Public Works Department
There is frequent eve teasing near the hospital. kindly look into this.,Police
Flyover construction delay leading to congestion. situation getting worse.,Transport
Citizen grievance unresolved despite repeated attempts. facing issues since last week.,CM Office (Miscellaneous)
Signal at community hall not functioning properly causing accidents. facing issues since last week.,Transport
Drunken men creating disturbance in Sector 12. request urgent action.,Police
Construction debris dumped near MG Road. needs immediate attention.,Development Authority
Waste dumped on roadside in ABC Colony. request urgent action.,Municipal
Need urgent help regarding electricity bill issue. kindly look into this.,CM Office (Miscellaneous)
Stormwater drain collapsed near bus depot.,Public Works Department
Heavy traffic jam at school every morning. please resolve soon.,Transport
Streetlights not working since last week in XYZ Nagar. request urgent action.,Municipal
Chain snatching reported near community hall. Please take action. situation getting worse.,Police
Encroachment on public land at temple.,Development Authority
Unauthorized shops operating near community hall. kindly look into this.,Development Authority
Fogging not done properly leading to mosquito menace. situation getting worse.,Municipal
Accidents happening due to no speed breakers at railway station.,Transport
Need urgent help regarding electricity bill issue. request urgent action.,CM Office (Miscellaneous)
"Street damaged after rain, vehicles skidding.",Public Works Department
No proper communication from officials on issue raised. needs immediate attention.,CM Office (Miscellaneous)
Plot disputes not being resolved on time. please resolve soon.,Development Authority
Need urgent help regarding electricity bill issue. kindly look into this.,CM Office (Miscellaneous)
Online complaint portal not working for days. needs immediate attention.,CM Office (Miscellaneous)
Corruption complaint ignored by local officer.,CM Office (Miscellaneous)
Signal at petrol bunk not functioning properly causing accidents. situation getting worse.,Transport
Staff behavior rude and unhelpful in office. needs immediate attention.,CM Office (Miscellaneous)
Drainage overflow causing bad smell near temple. please resolve soon.,Municipal
No proper communication from officials on issue raised. situation getting worse.,CM Office (Miscellaneous)
Robbery incident reported near market area. request urgent action.,Police
Heavy traffic jam at hospital every morning. request urgent action.,Transport
Robbery incident reported near school. facing issues since last week.,Police
Flyover joints damaged and causing vehicle imbalance. needs immediate attention.,Public Works Department
Robbery incident reported near railway station. kindly look into this.,Police
Bridge under repair for months at signal point. needs immediate attention.,Public Works Department
Garbage not collected in Downtown for several days. situation getting worse.,Municipal
Bridge under repair for months at signal point. needs immediate attention.,Public Works Department
Chain snatching reported near junction. Please take action. situation getting worse.,Police
Pedestrian crossing signal not working at school. request urgent action.,Transport
People fighting daily at the school.,Police
Streetlights not working since last week in Lakeview. needs immediate attention.,Municipal
Stormwater drain collapsed near bus depot. request urgent action.,Public Works Department
Chain snatching reported near city mall. Please take action. situation getting worse.,Police
Heavy traffic jam at park every morning. situation getting worse.,Transport
Robbery incident reported near railway station. needs immediate attention.,Police
Uneven road surface leading to traffic problems. situation getting worse.,Public Works Department
Signal at community hall not functioning properly causing accidents. facing issues since last week.,Transport
There is frequent eve teasing near the bus stop. needs immediate attention.,Police
Streetlights not working since last week in Downtown. request urgent action.,Municipal
Flyover joints damaged and causing vehicle imbalance. request urgent action.,Public Works Department
Chain snatching reported near community hall. Please take action.,Police
Plot disputes not being resolved on time.,Development Authority
Building without proper permission in ABC Colony. please resolve soon.,Development Authority
People fighting daily at the park. request urgent action.,Police
Stray dogs attacking people in Sector 12. facing issues since last week.,Municipal
"Unfair practices in local department reported, please look into it. needs immediate attention.",CM Office (Miscellaneous)
Delay in pension disbursement for seniors. needs immediate attention.,CM Office (Miscellaneous)
Drainage overflow causing bad smell near school. kindly look into this.,Municipal
Drunken men creating disturbance in Lakeview. needs immediate attention.,Police
New road construction delayed at Central Avenue. kindly look into this.,Public Works Department
Plot disputes not being resolved on time. facing issues since last week.,Development Authority
Government office not responding to complaints. situation getting worse.,CM Office (Miscellaneous)
Illegal gambling happening behind signal point. needs immediate attention.,Police
Application not processed even after multiple visits. situation getting worse.,CM Office (Miscellaneous)
Garbage not collected in Lakeview for several days. situation getting worse.,Municipal
Corruption complaint ignored by local officer. situation getting worse.,CM Office (Miscellaneous)
Need urgent help regarding electricity bill issue. situation getting worse.,CM Office (Miscellaneous)
Robbery incident reported near temple. please resolve soon.,Police
Complaint regarding layout approval delay. please resolve soon.,Development Authority
Theft cases increasing in MG Road. Please increase patrolling. request urgent action.,Police
Violation of building norms at main road. kindly look into this.,Development Authority
Flyover joints damaged and causing vehicle imbalance. request urgent action.,Public Works Department
Culvert repair pending at Old City. needs immediate attention.,Public Works Department
Corruption complaint ignored by local officer. needs immediate attention.,CM Office (Miscellaneous)
Robbery incident reported near railway station. please resolve soon.,Police
Water stagnation near hospital due to poor drainage. kindly look into this.,Public Works Department
Culvert repair pending at Airport Road. please resolve soon.,Public Works Department
Corruption complaint ignored by local officer. needs immediate attention.,CM Office (Miscellaneous)
Open manhole in school dangerous for kids. kindly look into this.,Municipal
Heavy traffic jam at hospital every morning. situation getting worse.,Transport
Building without proper permission in Green Park. please resolve soon.,Development Authority
Police not responding quickly during emergencies. needs immediate attention.,Police
Stormwater drain collapsed near city mall. facing issues since last week.,Public Works Department
Flyover joints damaged and causing vehicle imbalance. kindly look into this.,Public Works Department
Plot disputes not being resolved on time. facing issues since last week.,Development Authority
Garbage not collected in Central Avenue for several days. facing issues since last week.,Municipal
Illegal gambling happening behind signal point. kindly look into this.,Police
Drainage overflow causing bad smell near park. needs immediate attention.,Municipal
Unhygienic conditions near market in Green Park.,Municipal
Complaint regarding layout approval delay. situation getting worse.,Development Authority
There is frequent eve teasing near the temple. please resolve soon.,Police
Government office not responding to complaints. kindly look into this.,CM Office (Miscellaneous)
Application not processed even after multiple visits. situation getting worse.,CM Office (Miscellaneous)
Broken divider near petrol bunk causing jams. request urgent action.,Transport
Online complaint portal not working for days. request urgent action.,CM Office (Miscellaneous)
Fogging not done properly leading to mosquito menace. needs immediate attention.,Municipal
Application not processed even after multiple visits.,CM Office (Miscellaneous)
Open manhole in school dangerous for kids. needs immediate attention.,Municipal
Complaint regarding layout approval delay. kindly look into this.,Development Authority
Bus shelter at MG Road broken and unsafe. situation getting worse.,Transport
Need urgent help regarding electricity bill issue. needs immediate attention.,CM Office (Miscellaneous)
Broken divider near petrol bunk causing jams.,Transport
Uneven road surface leading to traffic problems.,Public Works Department
Government office not responding to complaints. please resolve soon.,CM Office (Miscellaneous)
Illegal construction happening on 2nd street. please resolve soon.,Development Authority
Drainage overflow causing bad smell near market area. facing issues since last week.,Municipal
Land encroachment by private party near bus stop. please resolve soon.,Development Authority
Drunken men creating disturbance in XYZ Nagar. please resolve soon.,Police
Culvert repair pending at New Town.,Public Works Department
Staff behavior rude and unhelpful in office. please resolve soon.,CM Office (Miscellaneous)
Stray dogs attacking people in Lakeview. needs immediate attention.,Municipal
Women feel unsafe walking home after 7 PM. facing issues since last week.,Police
Police not responding quickly during emergencies. kindly look into this.,Police
"Footpath broken near Green Park, pedestrians facing issues.",Public Works Department
Bus route 47 not running on time for several days. kindly look into this.,Transport
Violation of building norms at hospital. facing issues since last week.,Development Authority
Autos refusing passengers in MG Road.,Transport
Building without proper permission in XYZ Nagar. needs immediate attention.,Development Authority
Women feel unsafe walking home after 7 PM. kindly look into this.,Police
Bus shelter at MG Road broken and unsafe.,Transport
Flyover construction delay leading to congestion. please resolve soon.,Transport
Chain snatching reported near community hall. Please take action. kindly look into this.,Police
Accidents happening due to no speed breakers at temple. needs immediate attention.,Transport
Drainage overflow causing bad smell near main road. facing issues since last week.,Municipal
Road full of potholes at temple. please resolve soon.,Public Works Department
Signal at bus depot not functioning properly causing accidents. situation getting worse.,Transport
Unauthorized shops operating near community hall. facing issues since last week.,Development Authority
Streetlights not working since last week in MG Road. kindly look into this.,Municipal
Construction debris dumped near Lakeview. needs immediate attention.,Development Authority
Broken divider near community hall causing jams. situation getting worse.,Transport
Pedestrian crossing signal not working at hospital. situation getting worse.,Transport
Citizen grievance unresolved despite repeated attempts. facing issues since last week.,CM Office (Miscellaneous)
Complaint regarding layout approval delay. facing issues since last week.,Development Authority
"Street damaged after rain, vehicles skidding. needs immediate attention.",Public Works Department
Delay in pension disbursement for seniors.,CM Office (Miscellaneous)
"Unfair practices in local department reported, please look into it. request urgent action.",CM Office (Miscellaneous)
People blocking roads with illegal sheds. request urgent action.,Development Authority
Online complaint portal not working for days. please resolve soon.,CM Office (Miscellaneous)
Complaint regarding layout approval delay.,Development Authority
Fogging not done properly leading to mosquito menace.,Municipal
Corruption complaint ignored by local officer. request urgent action.,CM Office (Miscellaneous)
Culvert repair pending at New Town. needs immediate attention.,Public Works Department
Bus shelter at MG Road broken and unsafe.,Transport
Stray dogs attacking people in Central Avenue. kindly look into this.,Municipal
People fighting daily at the market area.,Police
Theft cases increasing in ABC Colony. Please increase patrolling. needs immediate attention.,Police
Signal at signal point not functioning properly causing accidents. kindly look into this.,Transport
Fogging not done properly leading to mosquito menace. situation getting worse.,Municipal
Unhygienic conditions near market in Central Avenue. situation getting worse.,Municipal
People fighting daily at the market area. facing issues since last week.,Police
People fighting daily at the park. needs immediate attention.,Police
New road construction delayed at Central Avenue. situation getting worse.,Public Works Department
There is frequent eve teasing near the railway station. kindly look into this.,Police
Plot disputes not being resolved on time.,Development Authority
Robbery incident reported near temple. request urgent action.,Police
Theft cases increasing in MG Road. Please increase patrolling.,Police
Heavy traffic jam at main road every morning. kindly look into this.,Transport
Bridge under repair for months at community hall. situation getting worse.,Public Works Department
Police not responding quickly during emergencies. facing issues since last week.,Police
Corruption complaint ignored by local officer. request urgent action.,CM Office (Miscellaneous)
Corruption complaint ignored by local officer.,CM Office (Miscellaneous)
Theft cases increasing in XYZ Nagar. Please increase patrolling.,Police
Plot disputes not being resolved on time. situation getting worse.,Development Authority
Government office not responding to complaints. request urgent action.,CM Office (Miscellaneous)
Construction debris dumped near MG Road. needs immediate attention.,Development Authority
Bridge under repair for months at signal point. situation getting worse.,Public Works Department
People fighting daily at the park. needs immediate attention.,Police
Stray dogs attacking people in Lakeview. please resolve soon.,Municipal
Theft cases increasing in Sector 12. Please increase patrolling. facing issues since last week.,Police
Drunken men creating disturbance in Sector 12. facing issues since last week.,Police
Chain snatching reported near city mall. Please take action. request urgent action.,Police
Stormwater drain collapsed near city mall. situation getting worse.,Public Works Department
Heavy traffic jam at bus stop every morning. request urgent action.,Transport
Bus route 71 not running on time for several days. kindly look into this.,Transport
Drainage overflow causing bad smell near park. request urgent action.,Municipal
Online complaint portal not working for days. please resolve soon.,CM Office (Miscellaneous)
Staff behavior rude and unhelpful in office.,CM Office (Miscellaneous)
Water stagnation near school due to poor drainage. request urgent action.,Public Works Department
Government office not responding to complaints. kindly look into this.,CM Office (Miscellaneous)
